ingredient_count,total_weight_grams,has_milk,has_sugar,has_rice,has_dal,has_paneer,has_ghee,has_butter,has_cream,has_oil,has_onion,has_tomato,has_potato,has_chicken,has_vegetables,dairy_grams,grain_grams,protein_source_grams,fat_source_grams,vegetable_grams,spice_grams,rich_ingredient_count,recipe_code,calories,protein,carbs,fats,sodium
5,420.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,390.0,30.0,0.0,30.0,0.0,30.0,1,ASC074,194.7616424560547,7.683526515960693,7.081819534301758,15.124773025512695,317.3780822753906
5,400.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,270.0,30.0,100.0,30.0,0.0,30.0,1,ASC075,146.85301208496094,5.967252254486084,5.879554271697998,11.078859329223633,51.5356330871582
4,335.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,270.0,30.0,0.0,30.0,0.0,30.0,1,ASC076,137.56356811523438,3.3937973976135254,7.312911510467529,10.506138801574707,20.943544387817383
4,315.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,270.0,30.0,0.0,30.0,0.0,30.0,1,ASC077,158.58372497558594,3.9789583683013916,8.286389350891113,12.174097061157227,22.163055419921875
4,320.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,45.0,0.0,30.0,240.0,5.0,0,ASC078,109.17575073242188,11.92262077331543,5.378172397613525,23.673311233520508,14174.5947265625
11,404.775,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0.0,7.5,0.0,30.0,360.0,4.375,0,ASC079,80.07408905029297,4.793009281158447,3.4506852626800537,12.224908828735352,5135.7421875
12,391.48,0,0,0,1,0,0,1,0,0,1,1,0,0,1,5.0,0.0,15.0,5.0,360.0,9.75,1,ASC080,31.16623878479004,9.653425216674805,3.9445831775665283,11.678777694702148,10418.8427734375
9,227.15,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.0,0.0,77.0,0.0,145.0,3.5,0,ASC081,47.944820404052734,11.471491813659668,1.1854139566421509,12.01870346069336,8953.63671875
13,472.9,1,0,0,0,0,0,1,1,1,1,1,0,0,1,85.0,12.5,0.0,40.0,340.0,15.0,2,ASC082,97.81221771240234,4.610315799713135,3.9280059337615967,13.115484237670898,4461.22265625
14,417.25,1,0,0,0,0,0,1,1,1,1,0,0,0,1,85.0,12.5,0.0,40.0,285.0,13.75,2,ASC083,127.84082794189453,7.126903533935547,6.750673294067383,14.781371116638184,4999.6962890625
14,473.13,1,0,0,0,0,0,1,1,1,1,0,0,0,1,85.0,12.5,0.0,40.0,340.0,13.75,2,ASC084,100.53778076171875,5.214042663574219,3.446488857269287,13.30996322631836,4429.8076171875
14,369.15,1,0,0,0,0,0,1,0,0,1,1,0,0,1,80.0,5.0,0.0,10.0,260.0,13.75,1,ASC085,59.64580535888672,6.844812393188477,4.931180953979492,9.04925537109375,5655.44970703125
14,384.78,1,0,0,0,0,0,1,1,1,1,0,0,1,0,85.0,5.0,120.0,40.0,65.0,13.75,2,ASC086,117.27780151367188,6.6403021812438965,3.7424185276031494,15.500728607177734,5276.0595703125
